tf_name	target_name	start_position	end_position	direction	binding_score	p_value	binding_sites
abd-A	Atg101	18685450	18685750	(+)	1157.66	0.000213	18685719:1157.66:0.000213
abd-A	CG12231	19425725	19426025	(-)	941.22	0.000600	19425890:941.22:0.000600 19425859:864.83:0.000795
abd-A	mask	20060541	20060841	(+)	864.83	0.000795	20060652:864.83:0.000795
abd-A	CG14853	10439284	10439584	(+)	1030.34	0.000308	10439320:1030.34:0.000308
abd-A	NijA	10689927	10690227	(-)	941.22	0.000600	10690219:941.22:0.000600
abd-A	CG12017	3279988	3280288	(+)	953.95	0.000404	3280000:953.95:0.000404
abd-A	mRpS26	18099428	18099728	(+)	953.95	0.000404	18099439:953.95:0.000404 18099509:864.83:0.000795
abd-A	Rab21	22415002	22415302	(-)	1246.78	0.000117	22415238:1246.78:0.000117
abd-A	CG2059	7180433	7180733	(+)	953.95	0.000404	7180533:953.95:0.000404 7180648:864.83:0.000795 7180480:852.10:0.000987
abd-A	Obp8a	9108658	9108958	(+)	864.83	0.000795	9108742:864.83:0.000795
abd-A	CG13053	16252772	16253072	(-)	953.95	0.000404	16253002:953.95:0.000404
abd-A	dnc	3184792	3185092	(+)	1246.78	0.000117	3184944:1246.78:0.000117 3184829:1030.34:0.000308
abd-A	CG14767	4611294	4611594	(-)	941.22	0.000600	4611557:941.22:0.000600
abd-A	CG12824	3677622	3677922	(+)	941.22	0.000600	3677749:941.22:0.000600
abd-A	CG9522	14742791	14743091	(-)	953.95	0.000404	14742998:953.95:0.000404 14743010:941.22:0.000600
abd-A	CG10420	21061201	21061501	(-)	941.22	0.000600	21061447:941.22:0.000600
abd-A	CG12393	6047751	6048051	(+)	941.22	0.000600	6048040:941.22:0.000600
abd-A	Gdh	19764442	19764742	(-)	953.95	0.000404	19764698:953.95:0.000404
abd-A	Scgdelta	1645004	1645304	(-)	941.22	0.000600	1645186:941.22:0.000600
abd-A	CG16727	15438852	15439152	(+)	1030.34	0.000308	15439011:1030.34:0.000308
abd-A	CoIV	19958581	19958881	(+)	953.95	0.000404	19958792:953.95:0.000404 19958691:864.83:0.000795
abd-A	Oseg6	15379301	15379601	(-)	1246.78	0.000117	15379531:1246.78:0.000117 15379517:864.83:0.000795
abd-A	CG33127	321850	322150	(+)	852.10	0.000987	321945:852.10:0.000987
abd-A	kis	250773	251073	(-)	864.83	0.000795	251010:864.83:0.000795
abd-A	CG10960	12836156	12836456	(-)	864.83	0.000795	12836369:864.83:0.000795
abd-A	pea	10040407	10040707	(+)	1246.78	0.000117	10040521:1246.78:0.000117
abd-A	lqfR	18236772	18237072	(+)	941.22	0.000600	18236783:941.22:0.000600 18236812:941.22:0.000600 18236903:941.22:0.000600
abd-A	CG8202	4557562	4557862	(+)	941.22	0.000600	4557563:941.22:0.000600
abd-A	CG7156	14067831	14068131	(-)	941.22	0.000600	14068112:941.22:0.000600
abd-A	Nep4	16485576	16485876	(-)	852.10	0.000987	16485726:852.10:0.000987
abd-A	Mis12	6962098	6962398	(-)	941.22	0.000600	6962291:941.22:0.000600 6962379:941.22:0.000600
abd-A	CG45093	3646332	3646632	(-)	1246.78	0.000117	3646551:1246.78:0.000117
abd-A	CG10336	18689277	18689577	(+)	941.22	0.000600	18689343:941.22:0.000600
abd-A	CG10973	12747824	12748124	(-)	864.83	0.000795	12747869:864.83:0.000795 12748036:852.10:0.000987
abd-A	EndoGI	16257437	16257737	(+)	1246.78	0.000117	16257713:1246.78:0.000117
abd-A	CG15111	15024626	15024926	(+)	941.22	0.000600	15024725:941.22:0.000600 15024629:852.10:0.000987
abd-A	CG40160	1562106	1562406	(+)	953.95	0.000404	1562173:953.95:0.000404
abd-A	Tob	15985478	15985778	(-)	953.95	0.000404	15985485:953.95:0.000404
abd-A	Best4	15291807	15292107	(+)	941.22	0.000600	15291883:941.22:0.000600 15291994:864.83:0.000795
abd-A	CG16957	13396134	13396434	(-)	953.95	0.000404	13396193:953.95:0.000404 13396365:953.95:0.000404
abd-A	Dgp-1	14060062	14060362	(-)	1246.78	0.000117	14060318:1246.78:0.000117 14060216:941.22:0.000600 14060245:941.22:0.000600
abd-A	ab	11234600	11234900	(+)	1157.66	0.000213	11234838:1157.66:0.000213 11234698:941.22:0.000600 11234706:941.22:0.000600
abd-A	ppk23	17463211	17463511	(-)	1246.78	0.000117	17463472:1246.78:0.000117 17463457:1157.66:0.000213
abd-A	CG6617	18544427	18544727	(-)	941.22	0.000600	18544579:941.22:0.000600
abd-A	l(2)37Cb	19126926	19127226	(-)	941.22	0.000600	19127077:941.22:0.000600 19127202:941.22:0.000600
abd-A	CG33689	16193192	16193492	(+)	1246.78	0.000117	16193387:1246.78:0.000117 16193350:941.22:0.000600
abd-A	CG17801	13632757	13633057	(-)	953.95	0.000404	13632836:953.95:0.000404
abd-A	CG41562	5466845	5467145	(+)	1030.34	0.000308	5466971:1030.34:0.000308 5466906:941.22:0.000600
abd-A	EloA	19077034	19077334	(+)	1246.78	0.000117	19077175:1246.78:0.000117
abd-A	CG13639	20686038	20686338	(-)	852.10	0.000987	20686256:852.10:0.000987
abd-A	CG10602	18857494	18857794	(-)	1246.78	0.000117	18857734:1246.78:0.000117
abd-A	CG15711	12251762	12252062	(-)	852.10	0.000987	12252021:852.10:0.000987
abd-A	Ski6	13222257	13222557	(-)	864.83	0.000795	13222402:864.83:0.000795
abd-A	BoYb	22894761	22895061	(+)	864.83	0.000795	22894771:864.83:0.000795
abd-A	Menl-2	12304605	12304905	(-)	1246.78	0.000117	12304857:1246.78:0.000117
abd-A	CG42705	7307651	7307951	(+)	953.95	0.000404	7307724:953.95:0.000404
abd-A	gd	11881704	11882004	(-)	1246.78	0.000117	11881872:1246.78:0.000117 11881952:1246.78:0.000117
abd-A	DOR	4414106	4414406	(+)	864.83	0.000795	4414246:864.83:0.000795
abd-A	CG9776	156718	157018	(-)	864.83	0.000795	156785:864.83:0.000795
abd-A	opm	14960415	14960715	(-)	941.22	0.000600	14960653:941.22:0.000600
abd-A	CG3955	9016507	9016807	(-)	1246.78	0.000117	9016767:1246.78:0.000117
abd-A	Sfp33A4	11836992	11837292	(+)	941.22	0.000600	11837203:941.22:0.000600
abd-A	CG10732	13435443	13435743	(+)	941.22	0.000600	13435449:941.22:0.000600 13435491:864.83:0.000795
abd-A	CG13884	366387	366687	(-)	1246.78	0.000117	366583:1246.78:0.000117 366646:941.22:0.000600 366547:864.83:0.000795 366496:852.10:0.000987
abd-A	Hs6st	15834184	15834484	(-)	864.83	0.000795	15834410:864.83:0.000795
abd-A	shi	15785898	15786198	(+)	864.83	0.000795	15785971:864.83:0.000795
abd-A	CG30286	17424250	17424550	(-)	941.22	0.000600	17424421:941.22:0.000600
abd-A	alph	25418574	25418874	(+)	941.22	0.000600	25418840:941.22:0.000600 25418675:864.83:0.000795
abd-A	CG15117	15012673	15012973	(-)	941.22	0.000600	15012888:941.22:0.000600 15012947:852.10:0.000987
abd-A	CG17068	20122117	20122417	(-)	864.83	0.000795	20122227:864.83:0.000795
abd-A	CG34396	16985012	16985312	(+)	1157.66	0.000213	16985027:1157.66:0.000213
abd-A	CG32557	17750112	17750412	(-)	953.95	0.000404	17750268:953.95:0.000404
abd-A	NK7.1	10195304	10195604	(-)	1246.78	0.000117	10195425:1246.78:0.000117 10195501:1030.34:0.000308
abd-A	CG15891	6189098	6189398	(-)	953.95	0.000404	6189338:953.95:0.000404
abd-A	CG13870	16231099	16231399	(+)	852.10	0.000987	16231328:852.10:0.000987
abd-A	Kr-h2	6070818	6071118	(+)	941.22	0.000600	6070846:941.22:0.000600
abd-A	rn	3103151	3103451	(-)	953.95	0.000404	3103314:953.95:0.000404 3103199:852.10:0.000987
abd-A	Npc1a	10221166	10221466	(-)	864.83	0.000795	10221244:864.83:0.000795
abd-A	Sce	23507701	23508001	(-)	864.83	0.000795	23507854:864.83:0.000795 23507922:864.83:0.000795
abd-A	CG5380	18193045	18193345	(-)	941.22	0.000600	18193115:941.22:0.000600
abd-A	CG8213	4873355	4873655	(-)	941.22	0.000600	4873626:941.22:0.000600
abd-A	ND23	11662789	11663089	(-)	1157.66	0.000213	11662892:1157.66:0.000213
abd-A	Ars2	1972891	1973191	(-)	1246.78	0.000117	1973047:1246.78:0.000117
abd-A	MESK2	17393401	17393701	(+)	864.83	0.000795	17393551:864.83:0.000795
abd-A	CG44869	15418311	15418611	(-)	852.10	0.000987	15418551:852.10:0.000987
abd-A	su(Hw)	10134261	10134561	(-)	1246.78	0.000117	10134332:1246.78:0.000117 10134518:1157.66:0.000213
abd-A	CG7988	14045997	14046297	(+)	1246.78	0.000117	14046052:1246.78:0.000117
abd-A	l(3)j2D3	12108950	12109250	(+)	941.22	0.000600	12108954:941.22:0.000600
abd-A	CG6602	6064988	6065288	(+)	852.10	0.000987	6065054:852.10:0.000987
abd-A	slx1	467434	467734	(+)	953.95	0.000404	467435:953.95:0.000404 467443:941.22:0.000600
abd-A	Eig71Ek	15654097	15654397	(+)	941.22	0.000600	15654105:941.22:0.000600
abd-A	DAAM	1198828	1199128	(-)	864.83	0.000795	1199061:864.83:0.000795
abd-A	HIP-R	3683824	3684124	(+)	953.95	0.000404	3683876:953.95:0.000404 3684045:852.10:0.000987
abd-A	CG15912	4442852	4443152	(+)	852.10	0.000987	4442985:852.10:0.000987
abd-A	CG13690	419602	419902	(-)	941.22	0.000600	419742:941.22:0.000600
abd-A	CG6140	11458914	11459214	(-)	1246.78	0.000117	11459039:1246.78:0.000117 11459176:1246.78:0.000117
abd-A	CG5445	17196252	17196552	(+)	941.22	0.000600	17196357:941.22:0.000600
abd-A	CG32795	2684550	2684850	(-)	864.83	0.000795	2684666:864.83:0.000795
abd-A	Gr59a	18967833	18968133	(+)	1030.34	0.000308	18967994:1030.34:0.000308
abd-A	smg	8991039	8991339	(-)	1246.78	0.000117	8991044:1246.78:0.000117
abd-A	CG44173	15105400	15105700	(-)	852.10	0.000987	15105537:852.10:0.000987
abd-A	CG11134	13631921	13632221	(+)	1157.66	0.000213	13632052:1157.66:0.000213
abd-A	CG13484	14046129	14046429	(-)	1246.78	0.000117	14046216:1246.78:0.000117
abd-A	Gyc32E	11148825	11149125	(-)	864.83	0.000795	11148984:864.83:0.000795
abd-A	Vha16-2	11467807	11468107	(+)	1246.78	0.000117	11467860:1246.78:0.000117 11467974:864.83:0.000795
abd-A	CG2906	3843404	3843704	(+)	941.22	0.000600	3843693:941.22:0.000600
abd-A	brv3	2518558	2518858	(-)	852.10	0.000987	2518768:852.10:0.000987
abd-A	CG13561	19693722	19694022	(-)	1246.78	0.000117	19693905:1246.78:0.000117 19693939:1246.78:0.000117
abd-A	mam	9878457	9878757	(+)	1157.66	0.000213	9878466:1157.66:0.000213 9878537:852.10:0.000987
abd-A	CG8671	21262705	21263005	(+)	864.83	0.000795	21262867:864.83:0.000795
abd-A	Gr22e	1783811	1784111	(+)	852.10	0.000987	1783879:852.10:0.000987
abd-A	CG8541	7464408	7464708	(+)	1030.34	0.000308	7464476:1030.34:0.000308
abd-A	REG	13106107	13106407	(+)	852.10	0.000987	13106217:852.10:0.000987
abd-A	CG13223	7143761	7144061	(+)	941.22	0.000600	7143866:941.22:0.000600 7143943:941.22:0.000600
abd-A	Cpr60D	20550879	20551179	(-)	941.22	0.000600	20550922:941.22:0.000600
abd-A	CG11475	17958741	17959041	(-)	1157.66	0.000213	17958926:1157.66:0.000213
abd-A	CG5800	17530063	17530363	(+)	852.10	0.000987	17530228:852.10:0.000987
abd-A	CheA75a	18244937	18245237	(+)	1157.66	0.000213	18245083:1157.66:0.000213
abd-A	LpR2	21545789	21546089	(-)	953.95	0.000404	21546051:953.95:0.000404
abd-A	eIF-2beta	12519781	12520081	(-)	1246.78	0.000117	12520013:1246.78:0.000117
abd-A	Eh	13274530	13274830	(-)	953.95	0.000404	13274792:953.95:0.000404
abd-A	CG5386	18167923	18168223	(-)	1246.78	0.000117	18168102:1246.78:0.000117 18168117:1030.34:0.000308 18168193:864.83:0.000795
abd-A	CG9531	6467648	6467948	(-)	864.83	0.000795	6467816:864.83:0.000795
abd-A	CG11200	16196126	16196426	(-)	941.22	0.000600	16196298:941.22:0.000600
abd-A	Mtap	13315049	13315349	(+)	864.83	0.000795	13315218:864.83:0.000795 13315295:864.83:0.000795
abd-A	CoVIII	21532497	21532797	(-)	1246.78	0.000117	21532770:1246.78:0.000117
abd-A	CG44009	14225180	14225480	(+)	1246.78	0.000117	14225270:1246.78:0.000117
abd-A	CG9626	4126650	4126950	(-)	864.83	0.000795	4126847:864.83:0.000795 4126900:864.83:0.000795 4126944:852.10:0.000987
abd-A	Hsp60D	13449447	13449747	(-)	1246.78	0.000117	13449729:1246.78:0.000117 13449515:864.83:0.000795
abd-A	CG2059	7180140	7180440	(+)	1157.66	0.000213	7180165:1157.66:0.000213
abd-A	Sec61gamma	19537641	19537941	(+)	864.83	0.000795	19537705:864.83:0.000795
abd-A	CG1628	10496697	10496997	(-)	1157.66	0.000213	10496742:1157.66:0.000213 10496798:941.22:0.000600 10496952:941.22:0.000600
abd-A	CG43427	485050	485350	(+)	1246.78	0.000117	485129:1246.78:0.000117
abd-A	kermit	4036626	4036926	(-)	1030.34	0.000308	4036799:1030.34:0.000308
abd-A	CG8791	3813907	3814207	(+)	852.10	0.000987	3814028:852.10:0.000987
abd-A	CG2871	4671358	4671658	(-)	1246.78	0.000117	4671548:1246.78:0.000117 4671615:1246.78:0.000117 4671568:864.83:0.000795
abd-A	CG14646	215837	216137	(+)	953.95	0.000404	215846:953.95:0.000404
abd-A	capu	3896058	3896358	(-)	941.22	0.000600	3896267:941.22:0.000600
abd-A	CG42675	1640138	1640438	(+)	864.83	0.000795	1640279:864.83:0.000795
abd-A	Cks85A	4541551	4541851	(-)	864.83	0.000795	4541716:864.83:0.000795
abd-A	CG8032	4489586	4489886	(+)	1246.78	0.000117	4489710:1246.78:0.000117
abd-A	CG9391	21261385	21261685	(-)	941.22	0.000600	21261532:941.22:0.000600
abd-A	CG4483	9229698	9229998	(-)	1246.78	0.000117	9229879:1246.78:0.000117
abd-A	CG34384	3647506	3647806	(+)	1246.78	0.000117	3647529:1246.78:0.000117
abd-A	Su(fu)	8517140	8517440	(-)	864.83	0.000795	8517324:864.83:0.000795
abd-A	VhaM9.7-b	21532711	21533011	(+)	1246.78	0.000117	21532770:1246.78:0.000117 21532809:864.83:0.000795
abd-A	CG17560	12443421	12443721	(+)	864.83	0.000795	12443450:864.83:0.000795 12443493:864.83:0.000795
abd-A	Atf-2	20757380	20757680	(+)	953.95	0.000404	20757663:953.95:0.000404 20757572:864.83:0.000795
abd-A	CG5866	13241210	13241510	(+)	1246.78	0.000117	13241304:1246.78:0.000117 13241347:1246.78:0.000117 13241358:1030.34:0.000308
abd-A	GstE13	5009578	5009878	(+)	1157.66	0.000213	5009702:1157.66:0.000213
abd-A	Cctgamma	12473076	12473376	(+)	1246.78	0.000117	12473082:1246.78:0.000117
abd-A	CG31697	19535197	19535497	(+)	1157.66	0.000213	19535473:1157.66:0.000213
abd-A	Prosalpha6T	13231788	13232088	(+)	1246.78	0.000117	13231951:1246.78:0.000117
abd-A	CG2316	214405	214705	(-)	1246.78	0.000117	214578:1246.78:0.000117
abd-A	GstT3	20339161	20339461	(+)	953.95	0.000404	20339219:953.95:0.000404
abd-A	CG42822	13239372	13239672	(+)	852.10	0.000987	13239456:852.10:0.000987
abd-A	CG5261	7427477	7427777	(+)	941.22	0.000600	7427677:941.22:0.000600 7427685:864.83:0.000795
abd-A	Ran-like	15478452	15478752	(-)	941.22	0.000600	15478484:941.22:0.000600 15478704:941.22:0.000600
abd-A	Sap30	16681534	16681834	(+)	1246.78	0.000117	16681635:1246.78:0.000117
abd-A	CG6145	9428252	9428552	(-)	1157.66	0.000213	9428403:1157.66:0.000213
abd-A	CG34177	4433657	4433957	(+)	1246.78	0.000117	4433890:1246.78:0.000117
abd-A	Msi	17757208	17757508	(-)	1157.66	0.000213	17757401:1157.66:0.000213
abd-A	Zip99C	25694567	25694867	(-)	864.83	0.000795	25694764:864.83:0.000795
abd-A	mael	22717082	22717382	(+)	1246.78	0.000117	22717126:1246.78:0.000117 22717257:1246.78:0.000117 22717221:852.10:0.000987
abd-A	CG15358	1884009	1884309	(-)	1157.66	0.000213	1884179:1157.66:0.000213 1884261:864.83:0.000795
abd-A	CG31849	13182546	13182846	(-)	864.83	0.000795	13182744:864.83:0.000795 13182832:852.10:0.000987
abd-A	CG10029	3142879	3143179	(-)	953.95	0.000404	3142992:953.95:0.000404
abd-A	ppk18	9770946	9771246	(-)	941.22	0.000600	9771088:941.22:0.000600 9771237:864.83:0.000795
abd-A	Ank2	7711445	7711745	(-)	941.22	0.000600	7711689:941.22:0.000600
abd-A	Or9a	10353659	10353959	(-)	941.22	0.000600	10353936:941.22:0.000600 10353826:852.10:0.000987
abd-A	CG1638	27416052	27416352	(+)	1157.66	0.000213	27416101:1157.66:0.000213 27416180:941.22:0.000600
abd-A	CG8485	10127158	10127458	(-)	953.95	0.000404	10127293:953.95:0.000404
abd-A	Usf	4442777	4443077	(-)	852.10	0.000987	4442985:852.10:0.000987
abd-A	CG7685	14230411	14230711	(+)	864.83	0.000795	14230456:864.83:0.000795
abd-A	Vha36-1	11428689	11428989	(+)	941.22	0.000600	11428802:941.22:0.000600
abd-A	CG30087	11579702	11580002	(+)	1157.66	0.000213	11579865:1157.66:0.000213
abd-A	CG44037	8084208	8084508	(+)	864.83	0.000795	8084276:864.83:0.000795
abd-A	CG9514	14790874	14791174	(-)	953.95	0.000404	14791123:953.95:0.000404
abd-A	Gr64d	4031811	4032111	(+)	1246.78	0.000117	4032047:1246.78:0.000117
abd-A	stau	14013234	14013534	(-)	852.10	0.000987	14013425:852.10:0.000987
abd-A	CG14185	20098943	20099243	(+)	1157.66	0.000213	20099021:1157.66:0.000213 20098956:1030.34:0.000308 20099076:941.22:0.000600
abd-A	Ir94a	17938898	17939198	(+)	1157.66	0.000213	17939002:1157.66:0.000213
abd-A	fs(1)h	7952341	7952641	(-)	1246.78	0.000117	7952411:1246.78:0.000117
abd-A	Phf7	20056714	20057014	(-)	1246.78	0.000117	20056886:1246.78:0.000117
abd-A	Srp68	8967895	8968195	(+)	864.83	0.000795	8967932:864.83:0.000795
abd-A	MAPk-Ak2	5658186	5658486	(-)	953.95	0.000404	5658409:953.95:0.000404
abd-A	CG14330	13282448	13282748	(-)	953.95	0.000404	13282467:953.95:0.000404
abd-A	CG30082	11573537	11573837	(-)	864.83	0.000795	11573620:864.83:0.000795 11573683:852.10:0.000987
abd-A	unc-5	11227726	11228026	(+)	852.10	0.000987	11227790:852.10:0.000987
abd-A	sisA	11216340	11216640	(-)	852.10	0.000987	11216501:852.10:0.000987
abd-A	mei-P22	7237237	7237537	(+)	941.22	0.000600	7237329:941.22:0.000600
abd-A	CG15115	14923842	14924142	(-)	1246.78	0.000117	14924080:1246.78:0.000117
abd-A	CG6357	9727307	9727607	(+)	852.10	0.000987	9727314:852.10:0.000987
abd-A	mri	199923	200223	(+)	1246.78	0.000117	199967:1246.78:0.000117 200032:864.83:0.000795
abd-A	CG44002	3171042	3171342	(-)	941.22	0.000600	3171061:941.22:0.000600
abd-A	CG31809	16858664	16858964	(-)	1246.78	0.000117	16858668:1246.78:0.000117 16858794:1030.34:0.000308
abd-A	CG43681	11392248	11392548	(-)	864.83	0.000795	11392489:864.83:0.000795
abd-A	Art9	9769132	9769432	(-)	953.95	0.000404	9769184:953.95:0.000404 9769259:941.22:0.000600 9769317:852.10:0.000987
abd-A	cv-c	10231122	10231422	(-)	941.22	0.000600	10231164:941.22:0.000600
abd-A	CG34286	15541599	15541899	(-)	1246.78	0.000117	15541846:1246.78:0.000117
abd-A	Gr21a	781025	781325	(+)	864.83	0.000795	781153:864.83:0.000795
abd-A	CG11068	13849018	13849318	(+)	941.22	0.000600	13849090:941.22:0.000600 13849130:852.10:0.000987
abd-A	Sfp77F	20890467	20890767	(-)	1246.78	0.000117	20890551:1246.78:0.000117
abd-A	CG31886	8959001	8959301	(-)	941.22	0.000600	8959059:941.22:0.000600
abd-A	CG31463	4117806	4118106	(+)	852.10	0.000987	4117816:852.10:0.000987
abd-A	Nos	10838398	10838698	(-)	852.10	0.000987	10838591:852.10:0.000987
abd-A	CG10936	13526589	13526889	(-)	1030.34	0.000308	13526850:1030.34:0.000308
abd-A	Arp53D	12661500	12661800	(+)	953.95	0.000404	12661522:953.95:0.000404
abd-A	CG9235	16796958	16797258	(+)	1246.78	0.000117	16797138:1246.78:0.000117 16797117:864.83:0.000795
abd-A	CG30458	13046493	13046793	(-)	953.95	0.000404	13046609:953.95:0.000404
abd-A	CG10602	18857629	18857929	(-)	1246.78	0.000117	18857734:1246.78:0.000117
abd-A	Ir31a	10405314	10405614	(+)	941.22	0.000600	10405431:941.22:0.000600 10405545:852.10:0.000987
abd-A	RpS20	16647652	16647952	(+)	864.83	0.000795	16647846:864.83:0.000795
abd-A	CG18659	5019485	5019785	(-)	941.22	0.000600	5019723:941.22:0.000600
abd-A	CG15747	13232100	13232400	(+)	1030.34	0.000308	13232384:1030.34:0.000308
abd-A	CG31804	17363245	17363545	(+)	1157.66	0.000213	17363390:1157.66:0.000213
abd-A	CG32302	2268574	2268874	(+)	1246.78	0.000117	2268754:1246.78:0.000117 2268688:941.22:0.000600 2268649:864.83:0.000795
abd-A	CG44477	11663008	11663308	(+)	852.10	0.000987	11663224:852.10:0.000987
abd-A	RpL13	9967062	9967362	(+)	852.10	0.000987	9967335:852.10:0.000987
abd-A	CG32350	23143549	23143849	(-)	864.83	0.000795	23143689:864.83:0.000795
abd-A	lat	9092792	9093092	(-)	953.95	0.000404	9092934:953.95:0.000404
abd-A	Ip259	10408101	10408401	(+)	852.10	0.000987	10408148:852.10:0.000987
