external_id	canonical_transcript_id	organism_id	chromosome	start	end	strand	status	symbol	aliases	description	
ENSG00000145741	ENST00000380591	homo_sapiens	5	72794232	72801460	+	KNOWN	BTF3	BTF3, BETA-NAC, BTF3a, BTF3b, NACB	basic transcription factor 3 [Source:HGNC Symbol;Acc:1125]	
ENSG00000170144	ENST00000392524	homo_sapiens	2	178077290	178088686	+	KNOWN	HNRNPA3	HNRNPA3, 2610510D13Rik, D10S102, FBRNP, HNRPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:24941]	
ENSG00000063177	ENST00000549920	homo_sapiens	19	49118584	49122793	-	KNOWN	RPL18	RPL18, L18	ribosomal protein L18 [Source:HGNC Symbol;Acc:10310]	
ENSG00000079332	ENST00000373238	homo_sapiens	10	71909959	71930279	-	KNOWN	SAR1A	SAR1A, SAR1, SARA1, Sara, masra2	SAR1 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:10534]	
ENSG00000113558	ENST00000353411	homo_sapiens	5	133484632	133561762	-	KNOWN	SKP1		S-phase kinase-associated protein 1 [Source:HGNC Symbol;Acc:10899]	
ENSG00000128609	ENST00000355749	homo_sapiens	7	123177050	123198309	-	KNOWN	NDUFA5	NDUFA5, B13, CI-13KD-B, CI-13kB, NUFM, UQOR13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5 [Source:HGNC Symbol;Acc:7688]	
ENSG00000184009	ENST00000575842	homo_sapiens	17	79476996	79490873	-	KNOWN	ACTG1	ACTG1, ACT, ACTG, BRWS2, DFNA20, DFNA26, HEL-176	actin, gamma 1 [Source:HGNC Symbol;Acc:144]	
ENSG00000143947	ENST00000272317	homo_sapiens	2	55459038	55462989	+	KNOWN	RPS27A	RPS27A, CEP80, HEL112, S27A, UBA80, UBC, UBCEP1, UBCEP80	ribosomal protein S27a [Source:HGNC Symbol;Acc:10417]	
ENSG00000100764	ENST00000261303	homo_sapiens	14	90722838	90738968	+	KNOWN	PSMC1	PSMC1, P26S4, S4, p56	proteasome (prosome, macropain) 26S subunit, ATPase, 1 [Source:HGNC Symbol;Acc:9547]	
ENSG00000140905	ENST00000315467	homo_sapiens	16	81115565	81130008	-	KNOWN	GCSH	GCSH, GCE, NKH	glycine cleavage system protein H (aminomethyl carrier) [Source:HGNC Symbol;Acc:4208]	
ENSG00000182004	ENST00000414487	homo_sapiens	1	203830730	203839678	+	KNOWN	SNRPE		small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:11161]	
ENSG00000142937	ENST00000396651	homo_sapiens	1	45240922	45244451	+	KNOWN	RPS8	RPS8, S8	ribosomal protein S8 [Source:HGNC Symbol;Acc:10441]	
ENSG00000159199	ENST00000393366	homo_sapiens	17	46970126	46973233	+	KNOWN	ATP5G1	ATP5G1, ATP5A, ATP5G	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9) [Source:HGNC Symbol;Acc:841]	
ENSG00000106153	ENST00000395422	homo_sapiens	7	56169261	56174269	-	KNOWN	CHCHD2	CHCHD2, C7orf17	coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:21645]	
ENSG00000233927	ENST00000600659	homo_sapiens	19	8386041	8388224	+	KNOWN	RPS28		ribosomal protein S28 [Source:HGNC Symbol;Acc:10418]	
ENSG00000122565	ENST00000337620	homo_sapiens	7	26240781	26252976	+	KNOWN	CBX3	CBX3, HECH, HP1-GAMMA, HP1Hs-gamma	chromobox homolog 3 [Source:HGNC Symbol;Acc:1553]	
ENSG00000105993	ENST00000262177	homo_sapiens	7	157128074	157210133	+	KNOWN	DNAJB6	DNAJB6, DJ4, DnaJ, HHDJ1, HSJ-2, HSJ2, LGMD1D, LGMD1E, MRJ, MSJ-1	DnaJ (Hsp40) homolog, subfamily B, member 6 [Source:HGNC Symbol;Acc:14888]	
ENSG00000160075	ENST00000291386	homo_sapiens	1	1477052	1510249	-	KNOWN	SSU72	SSU72, HSPC182, PNAS-120	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25016]	
ENSG00000143549	ENST00000368530	homo_sapiens	1	154127783	154167124	-	KNOWN	TPM3	TPM3, CAPM1, CFTD, HEL-189, HEL-S-82p, NEM1, OK/SW-cl.5, TM-5, TM3, TM30, TM30nm, TM5, TPMsk3, TRK, hscp30	tropomyosin 3 [Source:HGNC Symbol;Acc:12012]	
ENSG00000156482	ENST00000521291	homo_sapiens	8	99037078	99058697	-	KNOWN	RPL30	RPL30, L30	ribosomal protein L30 [Source:HGNC Symbol;Acc:10333]	
ENSG00000109971	ENST00000534624	homo_sapiens	11	122928196	122933938	-	KNOWN	HSPA8	HSPA8, HEL-33, HEL-S-72p, HSC54, HSC70, HSC71, HSP71, HSP73, HSPA10, LAP1, NIP71	heat shock 70kDa protein 8 [Source:HGNC Symbol;Acc:5241]	
ENSG00000114942	ENST00000392222	homo_sapiens	2	207024308	207027652	+	KNOWN	EEF1B2	EEF1B2, EEF1B, EEF1B1, EF1B	eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:3208]	
ENSG00000125691	ENST00000479035	homo_sapiens	17	37004117	37010096	-	KNOWN	RPL23		ribosomal protein L23 [Source:HGNC Symbol;Acc:10316]	
ENSG00000187569	ENST00000345088	homo_sapiens	12	7864049	7870155	+	KNOWN	DPPA3	DPPA3, STELLA	developmental pluripotency associated 3 [Source:HGNC Symbol;Acc:19199]	
ENSG00000204370	ENST00000375549	homo_sapiens	11	111957496	111990353	+	KNOWN	SDHD	SDHD, CBT1, CII-4, CWS3, PGL, PGL1, QPs3, SDH4, cybS	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:HGNC Symbol;Acc:10683]	
ENSG00000136143	ENST00000378654	homo_sapiens	13	48510621	48612125	-	KNOWN	SUCLA2	SUCLA2, A-BETA, MTDPS5, SCS-betaA	succinate-CoA ligase, ADP-forming, beta subunit [Source:HGNC Symbol;Acc:11448]	
ENSG00000114391	ENST00000394077	homo_sapiens	3	101399934	101405626	-	KNOWN	RPL24	RPL24, HEL-S-310, L24	ribosomal protein L24 [Source:HGNC Symbol;Acc:10325]	
ENSG00000205981	ENST00000382564	homo_sapiens	3	180701496	180707562	-	KNOWN	DNAJC19	DNAJC19, PAM18, TIM14, TIMM14	DnaJ (Hsp40) homolog, subfamily C, member 19 [Source:HGNC Symbol;Acc:30528]	
ENSG00000164587	ENST00000401695	homo_sapiens	5	149822752	149829319	-	KNOWN	RPS14	RPS14, EMTB, S14	ribosomal protein S14 [Source:HGNC Symbol;Acc:10387]	
ENSG00000132341	ENST00000543796	homo_sapiens	12	131356423	131362223	+	KNOWN	RAN		RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:9846]	
ENSG00000085662	ENST00000285930	homo_sapiens	7	134127101	134144036	-	KNOWN	AKR1B1	AKR1B1, ADR, ALDR1, ALR2, AR	aldo-keto reductase family 1, member B1 (aldose reductase) [Source:HGNC Symbol;Acc:381]	
ENSG00000228716	ENST00000439211	homo_sapiens	5	79922046	79950802	-	KNOWN	DHFR	DHFR, DHFRP1, DYR	dihydrofolate reductase [Source:HGNC Symbol;Acc:2861]	
ENSG00000035141	ENST00000037869	homo_sapiens	2	70523106	70529222	-	KNOWN	FAM136A		family with sequence similarity 136, member A [Source:HGNC Symbol;Acc:25911]	
ENSG00000029993	ENST00000325307	homo_sapiens	X	150148981	150159248	+	KNOWN	HMGB3	HMGB3, HMG-2a, HMG-4, HMG2A, HMG4	high mobility group box 3 [Source:HGNC Symbol;Acc:5004]	
ENSG00000118680	ENST00000581193	homo_sapiens	18	3261906	3278282	+	KNOWN	MYL12B	MYL12B, MLC-B, MRLC2	myosin, light chain 12B, regulatory [Source:HGNC Symbol;Acc:29827]	
ENSG00000005022	ENST00000317881	homo_sapiens	X	118602362	118605282	+	KNOWN	SLC25A5	SLC25A5, 2F1, AAC2, ANT2, T2, T3	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:10991]	
ENSG00000136810	ENST00000374517	homo_sapiens	9	113006090	113018920	-	KNOWN	TXN	TXN, TRDX, TRX, TRX1	thioredoxin [Source:HGNC Symbol;Acc:12435]	
ENSG00000184779	ENST00000330339	homo_sapiens	15	82821157	82824972	-	KNOWN	RPS17	RPS17, DBA4, RPS17L, RPS17L1, RPS17L2, S17	ribosomal protein S17 [Source:HGNC Symbol;Acc:10397]	
ENSG00000241186	ENST00000296145	homo_sapiens	3	46616044	46668033	+	KNOWN	TDGF1	TDGF1, CR, CRGF, CRIPTO	teratocarcinoma-derived growth factor 1 [Source:HGNC Symbol;Acc:11701]	
ENSG00000169230	ENST00000303204	homo_sapiens	5	176730774	176733960	+	KNOWN	PRELID1	PRELID1, PRELI, PX19, SBBI12	PRELI domain containing 1 [Source:HGNC Symbol;Acc:30255]	
ENSG00000184545	ENST00000397374	homo_sapiens	11	1575273	1593150	-	KNOWN	DUSP8	DUSP8, C11orf81, HB5, HVH-5, HVH8	dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:3074]	
ENSG00000263064	ENST00000572446	homo_sapiens	HG736_PATCH	56870560	56872546	+	NOVEL	AC118758.1			
ENSG00000197756	ENST00000491306	homo_sapiens	2	217362911	217443903	+	KNOWN	RPL37A		ribosomal protein L37a [Source:HGNC Symbol;Acc:10348]	
ENSG00000166441	ENST00000314138	homo_sapiens	11	8703957	8736306	+	KNOWN	RPL27A	RPL27A, L27A	ribosomal protein L27a [Source:HGNC Symbol;Acc:10329]	
ENSG00000188846	ENST00000396203	homo_sapiens	3	40498782	40503861	+	KNOWN	RPL14	RPL14, CAG-ISL-7, CTG-B33, L14, RL14, hRL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:10305]	
ENSG00000102898	ENST00000219169	homo_sapiens	16	67880634	67906470	+	KNOWN	NUTF2		nuclear transport factor 2 [Source:HGNC Symbol;Acc:13722]	
ENSG00000128951	ENST00000331200	homo_sapiens	15	48623207	48635570	+	KNOWN	DUT	DUT, dUTPase	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:3078]	
ENSG00000115539	ENST00000264254	homo_sapiens	2	101179151	101193197	+	KNOWN	PDCL3		phosducin-like 3 [Source:HGNC Symbol;Acc:28860]	
ENSG00000135940	ENST00000258424	homo_sapiens	2	98262502	98264846	+	KNOWN	COX5B		cytochrome c oxidase subunit Vb [Source:HGNC Symbol;Acc:2269]	
ENSG00000172757	ENST00000525451	homo_sapiens	11	65590492	65629497	-	KNOWN	CFL1	CFL1, CFL, HEL-S-15	cofilin 1 (non-muscle) [Source:HGNC Symbol;Acc:1874]	
ENSG00000089157	ENST00000551150	homo_sapiens	12	120634488	120639038	-	KNOWN	RPLP0	RPLP0, L10E, LP0, P0, PRLP0, RPP0	ribosomal protein, large, P0 [Source:HGNC Symbol;Acc:10371]	
ENSG00000162980	ENST00000295087	homo_sapiens	2	152645497	152685006	-	KNOWN	ARL5A		ADP-ribosylation factor-like 5A [Source:HGNC Symbol;Acc:696]	
ENSG00000063046	ENST00000262056	homo_sapiens	12	53399941	53435993	+	KNOWN	EIF4B	EIF4B, EIF-4B, PRO1843	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:3285]	
ENSG00000011009	ENST00000374514	homo_sapiens	1	24117459	24122029	+	KNOWN	LYPLA2	LYPLA2, APT-2, DJ886K2.4	lysophospholipase II [Source:HGNC Symbol;Acc:6738]	
ENSG00000144381	ENST00000388968	homo_sapiens	2	198351304	198381461	-	KNOWN	HSPD1	HSPD1, CPN60, GROEL, HLD4, HSP-60, HSP60, HSP65, HuCHA60, SPG13	heat shock 60kDa protein 1 (chaperonin) [Source:HGNC Symbol;Acc:5261]	
ENSG00000133627	ENST00000256001	homo_sapiens	7	152456833	152552463	+	KNOWN	ACTR3B	ACTR3B, ARP11, ARP3BETA	ARP3 actin-related protein 3 homolog B (yeast) [Source:HGNC Symbol;Acc:17256]	
ENSG00000101444	ENST00000217426	homo_sapiens	20	32868073	32899608	-	KNOWN	AHCY	AHCY, SAHH, adoHcyase	adenosylhomocysteinase [Source:HGNC Symbol;Acc:343]	
