retrodb_id	organism_name	parental_accession	potential_parentals	chromosome	start	end	strand	status	external_id	inside_intron_of	aliases	percent_identity	
retro_hsap_44	homo_sapiens	ENSG00000102743		5	140682526	140683432	-	KNOWN_PROTEIN_CODING	ENSG00000120329		SLC25A2, ORC2, ORNT2	87.38	
retro_hsap_46	homo_sapiens	ENSG00000072062		9	71627952	71629008	-	KNOWN_PROTEIN_CODING	ENSG00000165059		PRKACG, KAPG, PKACg	82.91	
retro_hsap_47	homo_sapiens	ENSG00000163931		4	164393005	164394886	-	KNOWN_PROTEIN_CODING	ENSG00000151005			67.59	
retro_hsap_48	homo_sapiens	ENSG00000140350		12	48866447	48866843	+	KNOWN_PROTEIN_CODING	ENSG00000139223		ANP32D, PP32R2	89.31	
retro_hsap_49	homo_sapiens	ENSG00000105879		X	22291108	22292386	+	KNOWN_PROTEIN_CODING	ENSG00000175809		ZNF645, CT138, HAKAIL	52.23	
retro_hsap_50	homo_sapiens	ENSG00000169714		X	73524101	73524602	+	KNOWN_PROTEIN_CODING	ENSG00000187969		ZCCHC13, CNBP2, ZNF9L	68.28	
retro_hsap_51	homo_sapiens	ENSG00000067167		4	118005439	118006549	-	KNOWN_PROTEIN_CODING	ENSG00000174599			71.39	
retro_hsap_52	homo_sapiens	ENSG00000176731		10	13350144	13350447	-	KNOWN_PROTEIN_CODING	ENSG00000226209			75	
retro_hsap_53	homo_sapiens	ENSG00000101266		11	11373490	11374666	-	KNOWN_PROTEIN_CODING	ENSG00000254598	ENSG00000110328	CSNK2A3, CSNK2A1P	98.47	
retro_hsap_54	homo_sapiens	ENSG00000105993		3	128181389	128182088	-	KNOWN_PROTEIN_CODING	ENSG00000179407		DNAJB8, CT156, DJ6	51.95	
retro_hsap_55	homo_sapiens	ENSG00000234545		X	92964418	92965165	+	KNOWN_PROTEIN_CODING	ENSG00000179083		FAM133A, CT115	82.04	
retro_hsap_56	homo_sapiens	ENSG00000188419		1	241797097	241799068	-	KNOWN_PROTEIN_CODING	ENSG00000203668	ENSG00000054277	CHML, REP2	71.98	
retro_hsap_57	homo_sapiens	ENSG00000065150		9	6012289	6015607	-	KNOWN_PROTEIN_CODING	ENSG00000137040			79.07	
retro_hsap_58	homo_sapiens	ENSG00000135018		X	56590306	56592181	+	KNOWN_PROTEIN_CODING	ENSG00000188021		UBQLN2, ALS15, CHAP1, DSK2, N4BP4, PLIC2	79.28	
retro_hsap_59	homo_sapiens	ENSG00000160014		10	5567048	5567498	+	KNOWN_PROTEIN_CODING	ENSG00000178363	ENSG00000205488	CALML3, CLP	84.56	
retro_hsap_60	homo_sapiens	ENSG00000139112		15	90892075	90892429	-	KNOWN_PROTEIN_CODING	ENSG00000238244			93.16	
retro_hsap_61	homo_sapiens	ENSG00000198176		X	132351069	132352287	-	KNOWN_PROTEIN_CODING	ENSG00000183434		TFDP3, CT30, DP4, HCA661	77.89	
retro_hsap_62	homo_sapiens	ENSG00000140941		12	117013747	117014125	+	KNOWN_PROTEIN_CODING	ENSG00000171471		MAP1LC3B2, ATG8G	99.2	
retro_hsap_63	homo_sapiens	ENSG00000167283		22	43035977	43036280	-	KNOWN_PROTEIN_CODING	ENSG00000249222	ENSG00000100243	ATP5L2, ATP5K2	89	
retro_hsap_64	homo_sapiens	ENSG00000106723		X	57020603	57021380	-	KNOWN_PROTEIN_CODING	ENSG00000204271			77.1	
retro_hsap_65	homo_sapiens	ENSG00000211452		14	102027833	102028748	+	KNOWN_PROTEIN_CODING	ENSG00000197406		DIO3, 5DIII, D3, DIOIII, TXDI3	50.62	
retro_hsap_66	homo_sapiens	ENSG00000147133		9	32630096	32635577	-	KNOWN_PROTEIN_CODING	ENSG00000122728		TAF1L, TAF2A2	94.37	
retro_hsap_67	homo_sapiens	ENSG00000164611		4	37962055	37962631	+	KNOWN_PROTEIN_CODING	ENSG00000250254	ENSG00000065882		90.45	
retro_hsap_68	homo_sapiens	ENSG00000109971		14	65007567	65009487	+	KNOWN_PROTEIN_CODING	ENSG00000126803		HSPA2, HSP70-2, HSP70-3	86.24	
retro_hsap_69	homo_sapiens	ENSG00000068796		17	51900394	51902416	+	KNOWN_PROTEIN_CODING	ENSG00000141200			74.19	
retro_hsap_70	homo_sapiens	ENSG00000198814		4	80327692	80329354	-	KNOWN_PROTEIN_CODING	ENSG00000196475		GK2, GKP2, GKTA	88.43	
retro_hsap_71	homo_sapiens	ENSG00000147400		18	580408	580927	+	KNOWN_PROTEIN_CODING	ENSG00000177143			83.72	
retro_hsap_72	homo_sapiens	ENSG00000176302		X	55650144	55651080	+	KNOWN_PROTEIN_CODING	ENSG00000189299		FOXR2, FOXN6	56.85	
retro_hsap_73	homo_sapiens	ENSG00000196459		19	57876201	57876624	+	KNOWN_PROTEIN_CODING	ENSG00000256060	ENSG00000152433	TRAPPC2P1, MIP-2A, SEDLP, SEDLP1	100	
retro_hsap_74	homo_sapiens	ENSG00000090621		X	90690576	90691725	+	KNOWN_PROTEIN_CODING	ENSG00000174740		PABPC5, PABP5	66.58	
retro_hsap_75	homo_sapiens	ENSG00000131165		18	11851510	11852110	+	KNOWN_PROTEIN_CODING	ENSG00000255112	ENSG00000141404	CHMP1B, C10orf2, C18-ORF2, C18orf2, CHMP1.5, Vps46-2, Vps46B, hVps46-2	55.61	
retro_hsap_76	homo_sapiens	ENSG00000080007		X	23018174	23020070	+	KNOWN_PROTEIN_CODING	ENSG00000184735	ENSG00000233067	DDX53, CAGE, CT26	61.6	
retro_hsap_77	homo_sapiens	ENSG00000196531		17	59667893	59668541	-	KNOWN_PROTEIN_CODING	ENSG00000253506		NACA2, ANAC, NACAL	90.23	
retro_hsap_78	homo_sapiens	ENSG00000258941		18	19995536	19997774	-	KNOWN_PROTEIN_CODING	ENSG00000212710		CTAGE1, CT21.1, CT21.2, CTAGE, CTAGE-1, CTAGE-2	88.59	
retro_hsap_79	homo_sapiens	ENSG00000105835		10	36811743	36813162	-	KNOWN_PROTEIN_CODING	ENSG00000229644			99.36	
retro_hsap_80	homo_sapiens	ENSG00000101888		20	23334678	23335101	+	KNOWN_PROTEIN_CODING	ENSG00000132661		NXT1, MTR2, P15	75.36	
retro_hsap_81	homo_sapiens	ENSG00000167996		X	31089518	31090070	-	KNOWN_PROTEIN_CODING	ENSG00000132446		FTHL17, CT38	65.03	
retro_hsap_82	homo_sapiens	ENSG00000132635		12	47628846	47630145	+	KNOWN_PROTEIN_CODING	ENSG00000179715		PCED1B, FAM113B	67.04	
retro_hsap_83	homo_sapiens	ENSG00000197111		2	70314875	70315946	+	KNOWN_PROTEIN_CODING	ENSG00000169564		PCBP1, HEL-S-85, HNRPE1, HNRPX, hnRNP-E1, hnRNP-X	86.45	
retro_hsap_84	homo_sapiens	ENSG00000135486		13	53216627	53217590	+	KNOWN_PROTEIN_CODING	ENSG00000139675			96.88	
retro_hsap_85	homo_sapiens	ENSG00000204572		11	71293412	71293883	-	KNOWN_PROTEIN_CODING	ENSG00000204571	ENSG00000204571	KRTAP5-11, KRTAP5-5, KRTAP5-6, KRTAP5.11	77.92	
retro_hsap_86	homo_sapiens	ENSG00000173113		2	26251073	26251481	-	KNOWN_PROTEIN_CODING	ENSG00000268412			93.02	
retro_hsap_87	homo_sapiens	ENSG00000167996		5	121187658	121188387	+	KNOWN_PROTEIN_CODING	ENSG00000181867		FTMT, MTF	80.56	
retro_hsap_88	homo_sapiens	ENSG00000070756		13	25670336	25672232	+	KNOWN_PROTEIN_CODING	ENSG00000151846			93.4	
retro_hsap_89	homo_sapiens	ENSG00000066427		X	13336985	13338053	-	KNOWN_PROTEIN_CODING	ENSG00000123594		ATXN3L, MJDL	69.81	
retro_hsap_90	homo_sapiens	ENSG00000102144		6	49753646	49754900	-	KNOWN_PROTEIN_CODING	ENSG00000170950		PGK2, HEL-S-272, PGKB, PGKPS, dJ417L20.2	87.29	
retro_hsap_91	homo_sapiens	ENSG00000147274		11	7110351	7111530	+	KNOWN_PROTEIN_CODING	ENSG00000170748		RBMXL2, HNRNPG-T, HNRNPGT, HNRPGT	73.48	
retro_hsap_92	homo_sapiens	ENSG00000119599		8	88885011	88886199	-	KNOWN_PROTEIN_CODING	ENSG00000176566		DCAF4L2, WDR21C	74.62	
retro_hsap_93	homo_sapiens	ENSG00000268963		14	47120294	47120939	-	KNOWN_PROTEIN_CODING	ENSG00000165496		RPL10L, RPL10_5_1358	95.79	
retro_hsap_94	homo_sapiens	ENSG00000071859		6	3850045	3851023	+	KNOWN_PROTEIN_CODING	ENSG00000145945	ENSG00000238158	FAM50B, D6S2654E, X5L	87.5	
retro_hsap_95	homo_sapiens	ENSG00000100804		14	23511434	23512337	+	KNOWN_PROTEIN_CODING	ENSG00000222028		PSMB11, BETA5T	54.68	
retro_hsap_96	homo_sapiens	ENSG00000197312		11	103907550	103908741	+	KNOWN_PROTEIN_CODING	ENSG00000170967	ENSG00000170962		72.7	
retro_hsap_97	homo_sapiens	ENSG00000100811		X	21874602	21875721	+	KNOWN_PROTEIN_CODING	ENSG00000230797	ENSG00000012174	YY2, ZNF631	60.71	
retro_hsap_98	homo_sapiens	ENSG00000126247		16	55600668	55601415	+	KNOWN_PROTEIN_CODING	ENSG00000256812	ENSG00000087253		67.77	
retro_hsap_99	homo_sapiens	ENSG00000105202		5	167956509	167957514	+	KNOWN_PROTEIN_CODING	ENSG00000188573			77.74	
retro_hsap_100	homo_sapiens	ENSG00000198830		6	26545434	26545707	+	KNOWN_PROTEIN_CODING	ENSG00000182952			86.67	
retro_hsap_101	homo_sapiens	ENSG00000119599		4	41983809	41985000	+	KNOWN_PROTEIN_CODING	ENSG00000182308		DCAF4L1, WDR21B	76.77	
retro_hsap_102	homo_sapiens	ENSG00000145919		18	54814543	54815062	+	KNOWN_PROTEIN_CODING	ENSG00000228075		BOD1L2, BOD1P, FAM44C	83.33	
retro_hsap_103	homo_sapiens	ENSG00000105993		22	41257068	41257998	-	KNOWN_PROTEIN_CODING	ENSG00000172404	ENSG00000196236	DNAJB7, DJ5, HSC3	63.71	
retro_hsap_104	homo_sapiens	ENSG00000155984		2	120979499	120980552	-	KNOWN_PROTEIN_CODING	ENSG00000226479			88.57	
retro_hsap_105	homo_sapiens	ENSG00000100170		21	35467497	35469654	+	KNOWN_PROTEIN_CODING	ENSG00000198743	ENSG00000214955		55.08	
retro_hsap_106	homo_sapiens	ENSG00000100811		4	188923961	188924894	+	KNOWN_PROTEIN_CODING	ENSG00000179059		ZFP42, REX1, ZNF754	66.04	
retro_hsap_107	homo_sapiens	ENSG00000168028		19	24009963	24010851	+	KNOWN_PROTEIN_CODING	ENSG00000205246	ENSG00000233836	RPSAP58, RPSA_30_1642	98.98	
retro_hsap_108	homo_sapiens	ENSG00000067560		2	20647226	20647817	+	KNOWN_PROTEIN_CODING	ENSG00000143878		RHOB, ARH6, ARHB, MST081, MSTP081, RHOH6	85.34	
retro_hsap_109	homo_sapiens	ENSG00000090621		4	135121061	135122348	-	KNOWN_PROTEIN_CODING	ENSG00000254535			75.41	
retro_hsap_110	homo_sapiens	ENSG00000198242		1	470909	471366	+	KNOWN_PSEUDOGENE	ENSG00000236679			76.28	
retro_hsap_111	homo_sapiens	ENSG00000171863		1	1605542	1605836	+	KNOWN_PSEUDOGENE	ENSG00000269227	ENSG00000189339		67	
retro_hsap_112	homo_sapiens	ENSG00000171863		1	1668395	1668686	+	KNOWN_PSEUDOGENE	ENSG00000227775	ENSG00000215790		69.39	
retro_hsap_113	homo_sapiens	ENSG00000147604		1	8810489	8811158	+	KNOWN_PSEUDOGENE	ENSG00000234619	ENSG00000142599		87.56	
retro_hsap_114	homo_sapiens	ENSG00000198830		1	8953567	8953837	+	KNOWN_PSEUDOGENE	ENSG00000238249			93.33	
retro_hsap_115	homo_sapiens	ENSG00000163682		1	9636484	9637040	+	KNOWN_PSEUDOGENE	ENSG00000231181	ENSG00000171612		78.76	
retro_hsap_116	homo_sapiens	ENSG00000106153		1	15931091	15931535	+	KNOWN_PSEUDOGENE	ENSG00000235084			95.95	
retro_hsap_117	homo_sapiens	ENSG00000197958		1	16119298	16119781	+	KNOWN_PSEUDOGENE	ENSG00000224321			91.98	
retro_hsap_118	homo_sapiens	ENSG00000105193		1	16154726	16155164	+	KNOWN_PSEUDOGENE	ENSG00000178715			92.47	
retro_hsap_119	homo_sapiens	ENSG00000164587		1	19934607	19935059	+	KNOWN_PSEUDOGENE	ENSG00000226396	ENSG00000173436		92.11	
retro_hsap_120	homo_sapiens	ENSG00000198034		1	20852515	20853174	+	KNOWN_PSEUDOGENE	ENSG00000215520			77.23	
retro_hsap_121	homo_sapiens	ENSG00000237829	ENSG00000234058,ENSG00000237403,ENSG00000236560,ENSG00000206501,ENSG00000227720,ENSG00000204619,ENSG00000233314	1	21724485	21724857	+	KNOWN_PSEUDOGENE	ENSG00000236216			90.32	
retro_hsap_122	homo_sapiens	ENSG00000122026		1	22234590	22235070	+	KNOWN_PSEUDOGENE	ENSG00000232037	ENSG00000142798		91.88	
retro_hsap_123	homo_sapiens	ENSG00000162244		1	23571257	23571721	+	KNOWN_PSEUDOGENE	ENSG00000215381			85	
retro_hsap_124	homo_sapiens	ENSG00000204370		1	25725211	25725688	+	KNOWN_PSEUDOGENE	ENSG00000238084	ENSG00000188672		96.86	
retro_hsap_125	homo_sapiens	ENSG00000139343		1	26213850	26214106	+	KNOWN_PSEUDOGENE	ENSG00000229786	ENSG00000117632		73.33	
retro_hsap_126	homo_sapiens	ENSG00000109475		1	26653177	26653527	+	KNOWN_PSEUDOGENE	ENSG00000225854	ENSG00000176092		77.12	
retro_hsap_127	homo_sapiens	ENSG00000197958		1	27306655	27307012	+	KNOWN_PSEUDOGENE	ENSG00000172746			90.76	
retro_hsap_128	homo_sapiens	ENSG00000105640		1	27503241	27503765	+	KNOWN_PSEUDOGENE	ENSG00000229985			87.5	
retro_hsap_129	homo_sapiens	ENSG00000181163		1	27533420	27533897	+	KNOWN_PSEUDOGENE	ENSG00000225159			96.23	
retro_hsap_130	homo_sapiens	ENSG00000182004		1	27537754	27537972	+	KNOWN_PSEUDOGENE	ENSG00000225990			93.24	
retro_hsap_131	homo_sapiens	ENSG00000232112		1	27975929	27976121	+	KNOWN_PSEUDOGENE	ENSG00000235912			95.31	
retro_hsap_132	homo_sapiens	ENSG00000129235		1	28065731	28065947	+	KNOWN_PSEUDOGENE	ENSG00000231344	ENSG00000009780		83.33	
retro_hsap_133	homo_sapiens	ENSG00000197713		1	28066550	28067137	+	KNOWN_PSEUDOGENE	ENSG00000230833	ENSG00000009780		78.68	
retro_hsap_134	homo_sapiens	ENSG00000085231	ENSG00000263302	1	31509608	31510081	+	KNOWN_PSEUDOGENE	ENSG00000237329	ENSG00000134644		51.88	
retro_hsap_135	homo_sapiens	ENSG00000105640		1	33445545	33446070	+	KNOWN_PSEUDOGENE	ENSG00000217644			81.25	
retro_hsap_136	homo_sapiens	ENSG00000140988		1	33452567	33453224	+	KNOWN_PSEUDOGENE	ENSG00000239670			71.24	
retro_hsap_137	homo_sapiens	ENSG00000197958		1	35524628	35524869	+	KNOWN_PSEUDOGENE	ENSG00000233940			71.26	
retro_hsap_138	homo_sapiens	ENSG00000122406		1	35816486	35817205	+	KNOWN_PSEUDOGENE	ENSG00000229994	ENSG00000146463		86.78	
retro_hsap_139	homo_sapiens	ENSG00000167996		1	38010516	38010899	+	KNOWN_PSEUDOGENE	ENSG00000232273	ENSG00000163877		83.21	
retro_hsap_140	homo_sapiens	ENSG00000140988		1	38306606	38307065	+	KNOWN_PSEUDOGENE	ENSG00000235673	ENSG00000188786		73.08	
retro_hsap_141	homo_sapiens	ENSG00000140988		1	40428218	40429073	+	KNOWN_PSEUDOGENE	ENSG00000228477	ENSG00000168389		91.58	
retro_hsap_142	homo_sapiens	ENSG00000198755		1	40830436	40830853	+	KNOWN_PSEUDOGENE	ENSG00000213172	ENSG00000084070		79.02	
retro_hsap_143	homo_sapiens	ENSG00000122026		1	42606767	42607050	+	KNOWN_PSEUDOGENE	ENSG00000228776			61.11	
retro_hsap_144	homo_sapiens	ENSG00000145425		1	42957409	42957817	+	KNOWN_PSEUDOGENE	ENSG00000230116	ENSG00000186409		79.14	
retro_hsap_145	homo_sapiens	ENSG00000131100		1	43368902	43369580	+	KNOWN_PSEUDOGENE	ENSG00000225099			90.71	
retro_hsap_146	homo_sapiens	ENSG00000089009		1	46246948	46247629	+	KNOWN_PSEUDOGENE	ENSG00000236111			92.07	
retro_hsap_147	homo_sapiens	ENSG00000082146		1	48901638	48902892	+	KNOWN_PSEUDOGENE	ENSG00000235105	ENSG00000132122		97.37	
retro_hsap_148	homo_sapiens	ENSG00000140988		1	50791803	50792682	+	KNOWN_PSEUDOGENE	ENSG00000234080			89.08	
retro_hsap_149	homo_sapiens	ENSG00000243927		1	51312140	51312390	+	KNOWN_PSEUDOGENE	ENSG00000237130	ENSG00000185104		72.94	
retro_hsap_150	homo_sapiens	ENSG00000169100		1	52174754	52175611	+	KNOWN_PSEUDOGENE	ENSG00000232846	ENSG00000117859		64.41	
retro_hsap_151	homo_sapiens	ENSG00000115539		1	52645517	52646223	+	KNOWN_PSEUDOGENE	ENSG00000224255	ENSG00000157077		84.58	
retro_hsap_152	homo_sapiens	ENSG00000164162		1	52719292	52719748	+	KNOWN_PSEUDOGENE	ENSG00000213735	ENSG00000157077		91.45	
retro_hsap_153	homo_sapiens	ENSG00000123739		1	52834347	52834914	+	KNOWN_PSEUDOGENE	ENSG00000224680			93.12	
retro_hsap_154	homo_sapiens	ENSG00000232112		1	53386076	53386266	+	KNOWN_PSEUDOGENE	ENSG00000230953	ENSG00000121310		89.23	
retro_hsap_155	homo_sapiens	ENSG00000258947		1	53460397	53461284	+	KNOWN_PSEUDOGENE	ENSG00000226147	ENSG00000116171		74.42	
retro_hsap_156	homo_sapiens	ENSG00000145592		1	54307217	54307504	+	KNOWN_PSEUDOGENE	ENSG00000229687			68.04	
retro_hsap_157	homo_sapiens	ENSG00000131174	ENSG00000269083	1	54555528	54555768	+	KNOWN_PSEUDOGENE	ENSG00000225183	ENSG00000116205		82.5	
retro_hsap_158	homo_sapiens	ENSG00000135486		1	55002468	55003428	+	KNOWN_PSEUDOGENE	ENSG00000227453			87.19	
retro_hsap_159	homo_sapiens	ENSG00000163754		1	55688455	55689042	+	KNOWN_PSEUDOGENE	ENSG00000231095	ENSG00000231090		88.83	
retro_hsap_160	homo_sapiens	ENSG00000122026		1	57004123	57004484	+	KNOWN_PSEUDOGENE	ENSG00000236776	ENSG00000162407		82.79	
retro_hsap_161	homo_sapiens	ENSG00000167085		1	59465347	59466163	+	KNOWN_PSEUDOGENE	ENSG00000228121			90.07	
retro_hsap_162	homo_sapiens	ENSG00000134248		1	62504483	62504780	+	KNOWN_PSEUDOGENE	ENSG00000236646	ENSG00000132849		87.13	
retro_hsap_163	homo_sapiens	ENSG00000185808		1	62654851	62655141	+	KNOWN_PSEUDOGENE	ENSG00000234204			62.24	
retro_hsap_164	homo_sapiens	ENSG00000134419		1	62656347	62656600	+	KNOWN_PSEUDOGENE	ENSG00000234088			74.12	
retro_hsap_165	homo_sapiens	ENSG00000182551		1	65407663	65407998	+	KNOWN_PSEUDOGENE	ENSG00000233877	ENSG00000162434		65.52	
retro_hsap_166	homo_sapiens	ENSG00000105993		1	67743850	67744459	+	KNOWN_PSEUDOGENE	ENSG00000228523			83.9	
retro_hsap_167	homo_sapiens	ENSG00000124523		1	68509410	68509917	+	KNOWN_PSEUDOGENE	ENSG00000235055	ENSG00000232284		68.93	
retro_hsap_168	homo_sapiens	ENSG00000127445		1	70385226	70385520	+	KNOWN_PSEUDOGENE	ENSG00000229359	ENSG00000033122		86.87	
retro_hsap_169	homo_sapiens	ENSG00000170421		1	73570489	73571964	+	KNOWN_PSEUDOGENE	ENSG00000229636			77.69	
retro_hsap_170	homo_sapiens	ENSG00000162244		1	76047780	76048244	+	KNOWN_PSEUDOGENE	ENSG00000213579	ENSG00000137968		82.5	
retro_hsap_171	homo_sapiens	ENSG00000268548	ENSG00000111669	1	77165440	77166220	+	KNOWN_PSEUDOGENE	ENSG00000226415			96.54	
retro_hsap_172	homo_sapiens	ENSG00000265681		1	77594798	77595350	+	KNOWN_PSEUDOGENE	ENSG00000226084	ENSG00000142892		98.91	
retro_hsap_173	homo_sapiens	ENSG00000114850		1	78557182	78557737	+	KNOWN_PSEUDOGENE	ENSG00000213560	ENSG00000137960		90.91	
retro_hsap_174	homo_sapiens	ENSG00000100603		1	79214736	79216341	+	KNOWN_PSEUDOGENE	ENSG00000235400			86.19	
retro_hsap_175	homo_sapiens	ENSG00000197894		1	79986764	79987891	+	KNOWN_PSEUDOGENE	ENSG00000232676			86.74	
