chr,marker,primer,phys.loc,gen.loc,gen.female,gen.male,rec.rate,rr.female,rr.male
1,D1S552,GGAT2A07,20990889,37.3,45.57,29.03,2.05,2.29,1.23
1,D1S2647,AFMa162zc9,21559915,37.48,45.93,29.03,1.98,2.26,1.16
1,D1S199,AFM078yg5,21748489,37.48,45.93,29.03,1.93,2.25,1.13
1,D1S2732,AFMb040yb1,22454661,39.04,48.12,29.95,1.69,2.14,1.02
1,D1S478,AFM290vb9,23629567,40,49.11,30.88,1.2,1.8,0.85
1,D1S334,Mfd293,23879785,40.2,49.51,30.88,1.11,1.71,0.82
1,D1S2828,AFM303tg1,23993249,40.64,50.02,31.26,1.07,1.67,0.81
1,D1S2725,AFMb016yb5,24159204,40.74,50.23,31.26,1.02,1.61,0.79
1,D1S2864,AFMa048yh1,25073094,41.17,51.08,31.26,0.86,1.32,0.71
1,D1S2698,AFMa300wb9,25474387,42.77,53.16,32.39,0.83,1.23,0.69
1,D1S458,AFM113xc7,25642678,42.77,53.16,32.39,0.83,1.2,0.68
1,D1S2734,AFMb046xa5,26266553,42.89,53.16,32.62,0.82,1.1,0.66
1,D1S482,AFM294zd1,26279906,42.89,53.16,32.62,0.82,1.1,0.66
1,D1S2620,AFMa114yd5,26290144,42.89,53.16,32.62,0.82,1.1,0.65
1,D1S234,AFM200yf12,NA,44.49,55.27,33.72,NA,NA,NA
1,D1S2885,AFMa067xe5,29364626,44.89,55.28,34.5,0.72,0.79,0.52
1,GGAA2D04,GGAA2D04,30286286,45.69,56.87,34.5,0.59,0.76,0.46
1,D1S2749,AFMb291wb5,30407598,46.32,57.08,35.56,0.57,0.77,0.46
1,D1S511,AFMa133xc5,NA,46.59,57.61,35.56,NA,NA,NA
1,D1S2639,AFMa141zb1,32105031,46.59,57.61,35.56,0.47,0.97,0.38
1,D1S470,AFM281xg9,34934628,48.36,60.11,36.6,1.1,1.52,0.39
1,D1S1622,ATA20F08,35166056,48.69,60.77,36.61,1.12,1.56,0.4
1,D1S493,AFM311ve1,35287778,48.85,61.1,36.61,1.14,1.58,0.4
1,D1S449,AFM240za9,35630637,49.29,61.98,36.61,1.16,1.62,0.41
1,D1S247,AFM234tb6,35867873,49.42,62.23,36.61,1.17,1.64,0.42
1,D1S1161,UT2521,36354500,51.74,65.74,37.73,1.17,1.67,0.45
1,D1S233,AFM199zd2,36429432,51.74,65.74,37.73,1.17,1.68,0.45
1,D1S2765,AFMb319wb1,37057064,51.81,65.89,37.73,1.15,1.7,0.49
1,D1S2832,AFM077xg1,37419398,52.13,66.53,37.73,1.13,1.7,0.51
1,D1S201,AFM094tb7,39618409,53.34,68.07,38.6,1.05,1.67,0.7
1,D1S2783,AFM269xd5,39950930,54.34,69.54,39.14,1.07,1.67,0.73
1,D1S2613,AFMa107wf9,40269656,55.53,71.59,39.47,1.1,1.68,0.76
1,D1S195,AFM063xb6,40725413,55.87,71.59,40.16,1.17,1.72,0.79
1,D1S2730,AFM205xd2,40823934,55.87,71.59,40.16,1.18,1.73,0.8
1,D1S3463,ATA7G11,40889830,56.08,72,40.16,1.2,1.73,0.8
1,D1S496,AFM329xd5,41013899,56.08,72,40.16,1.22,1.75,0.81
1,GATA137F0,1  GATA137F01,41041333,56.08,72,40.16,1.22,1.75,0.81
1,D1S2656,AFMa190zc5,42134411,56.32,72,40.63,1.46,1.94,0.85
1,D1S2729,AFMb037xf1,42723216,57.95,74.76,41.13,1.57,2.05,0.86
1,D1S472,AFM282zd1,43093529,57.95,74.76,41.14,1.62,2.11,0.85
1,ATA4E01,ATA4E01,43134114,58.07,75,41.14,1.62,2.12,0.85
1,D1S2637,AFMa134zc1,43166843,58.07,75,41.14,1.63,2.12,0.85
1,D1S2723,AFMb013we1,43167147,58.07,75,41.14,1.63,2.12,0.85
1,D1S255,AFM260zg5,43309508,58.66,75.24,42.09,1.64,2.14,0.84
1,D1S186,Mfd217,43824711,60.14,77.37,42.91,1.66,2.19,0.82
1,D1S380,UT499,44332590,60.55,77.37,43.72,1.65,2.2,0.79
1,D1S1598,GATA27F07,46114707,63.51,82.75,44.26,1.36,1.99,0.62
1,D1S2706,AFMa337wc1,47484807,65.31,85.66,44.95,1.02,1.67,0.49
1,D1S2722,AFM200wh8,48112251,65.77,86.28,45.26,0.88,1.52,0.43
1,D1S3721,GATA129H04,48298125,65.87,86.28,45.46,0.85,1.47,0.42
1,D1S2130,GATA65H06,48399763,65.87,86.29,45.46,0.83,1.45,0.41
1,D1S463,AFM154xg11,49078851,66.44,87.42,45.46,0.75,1.3,0.37
1,D1S1586,ACT1B03a,49349548,66.44,87.43,45.46,0.73,1.25,0.35
1,D1S193,AFM057xf4,49504584,66.64,87.47,45.81,0.72,1.22,0.34
1,D1S2861,AFM092xd11,49717179,66.64,87.47,45.81,0.7,1.19,0.33
1,D1S2713,AFMa349yb5,51135175,67.87,89.08,46.66,0.66,1.07,0.29
1,D1S421,AFM199zb12,52029365,68.9,91.14,46.66,0.63,1.06,0.28
1,D1S451,AFM248tf9,52971890,68.9,91.14,46.66,0.62,1.07,0.29
1,D1S3175,GTAT1A7,53192399,68.9,91.14,46.67,0.62,1.06,0.29
1,D1S2797,AFMb359wd1,53929232,68.9,91.14,46.67,0.68,1.05,0.29
1,D1S2879,AFMa058we5,54947914,70.35,93.66,47.04,0.76,0.96,0.3
1,D1S2874,AFMa055xe5,54953853,70.35,93.66,47.04,0.76,0.96,0.3
1,D1S2720,AFMb009yd9,54954214,70.35,93.66,47.04,0.76,0.96,0.3
1,D1S2134,GATA72H07,55498191,71.29,94.76,47.81,0.77,0.88,0.29
1,D1S2824,AFM291vh5,56119255,71.61,95.14,48.09,0.72,0.77,0.29
1,D1S2748,AFMb286xh9,57790159,72.05,95.78,48.32,0.26,0.52,0.27
1,D1S197,AFM073xe9,58772151,72.05,95.78,48.33,0.05,0.5,0.28
1,D1S427,AFM205zc11,59237892,72.42,96.26,48.58,0.05,0.54,0.29
1,D1S1661,GATA48E12,59423296,72.42,96.26,48.58,0.07,0.56,0.29
1,D1S232,AFM198ye9,59710928,72.42,96.26,48.58,0.14,0.6,0.31
1,D1S231,AFM198wa3,60716001,72.55,96.26,48.85,0.55,0.83,0.4
1,D1S386,UT665,61233539,72.55,96.26,48.85,0.79,0.98,0.46
1,D1S509,AFMa132wa9,62641371,73.84,97.98,49.7,1.25,1.4,0.68
1,D1S2661,AFMa203ye9,63162863,75,99.75,50.26,1.28,1.54,0.77
1,D1S417,AFM192xg3,64146316,77.15,102.86,51.44,1.29,1.74,0.94
1,D1S2652,AFMa184xe1,64299310,77.15,102.87,51.44,1.3,1.76,0.96
1,D1S200,AFM093xf3,64935009,77.73,103.47,51.99,1.39,1.82,1.06
1,D1S475,AFM288wf9,65060651,77.73,103.47,51.99,1.41,1.82,1.07
1,D1S2742,AFMb076xh9,65875379,78.04,104.08,51.99,1.57,1.8,1.15
1,D1S2690,AFMa283yc9,66389049,79.63,105.24,54.02,1.64,1.74,1.17
1,D1S2867,AFMa050zc5,66844073,80.42,106.53,54.31,1.67,1.67,1.18
1,D1S2665,AFMa219zc1,66929104,80.9,107.02,54.77,1.67,1.66,1.18
1,D1S2890,AFMa082wb5,67109382,80.9,107.03,54.78,1.66,1.63,1.18
1,D1S1150,UT419,NA,81.3,107.46,55.13,NA,NA,NA
1,D1S2650,AFMa183zd9,67918270,82.18,108.31,56.05,1.5,1.49,1.16
1,D1S2869,AFMa052wc5,68034182,82.38,108.72,56.05,1.47,1.47,1.16
1,D1S405,UT2271,68287471,82.38,108.72,56.05,1.38,1.43,1.15
1,D1S2648,AFMa163tg1,68378957,82.57,109.09,56.05,1.35,1.42,1.15
1,D1S2700,AFMa300wg9,68569389,83.07,109.5,56.64,1.28,1.4,1.14
1,D1S220,AFM162xg3,68741783,83.07,109.5,56.64,1.22,1.38,1.14
1,D1S2741,AFMb072wg9,69040493,84.31,110.92,57.7,1.12,1.35,1.12
1,D1S3734,GATA175C09,69044933,84.35,110.92,57.78,1.11,1.35,1.12
1,D1S2801,AFMb361xc5,69367434,84.54,110.92,58.16,1.01,1.32,1.11
1,D1S2770,AFM256yh5,69423080,85.02,111.87,58.16,1,1.31,1.11
1,D1S2873,AFMa054wa9,70411541,85.05,111.87,58.22,0.88,1.25,1.07
1,D1S203,AFM095wc9,71729612,85.47,112.25,58.69,1.15,1.22,1.04
1,D1S2737,AFMb050zb5,71773717,85.47,112.25,58.69,1.16,1.22,1.03
1,D1S2822,AFM288zg1,71980391,85.79,112.36,59.22,1.21,1.22,1.03
1,D1S2846,AFM345xb5,72047322,86.15,113.09,59.22,1.22,1.22,1.03
1,D1S2788,AFMb351xc9,72259490,87.25,113.09,61.42,1.26,1.23,1.02
1,D1S473,AFM286xd9,72294450,87.25,113.09,61.42,1.27,1.23,1.02
1,D1S209,AFM120xd4,72433250,87.51,113.6,61.42,1.28,1.23,1.02
1,D1S230,AFM197xb6,73127176,88.12,114.4,61.85,1.3,1.25,1
1,D1S2835,AFM323xa9,73838459,88.72,115.39,62.04,1.24,1.28,0.97
1,D1S2638,AFMa140yh1,74180643,89.3,116.18,62.42,1.19,1.31,0.95
1,D1S438,AFM220yc7,74444702,89.62,116.82,62.42,1.15,1.33,0.94
1,D1S2617,AFMa112zd5,75116508,90.44,118.07,62.81,1.07,1.38,0.9
1,D1S2684,AFMa273zb1,75217125,90.68,118.07,63.29,1.07,1.39,0.9
1,D1S2710,AFMa346we5,75306991,91.22,119.16,63.29,1.06,1.4,0.89
1,D1S3724,ATA42H04,75786855,91.47,119.16,63.79,1.04,1.44,0.87
1,D1S2754,AFMb301xd1,75951486,91.61,119.43,63.79,1.04,1.45,0.86
1,D1S2866,AFMa050td5,76564871,91.8,119.43,64.17,1.06,1.49,0.83
1,D1S198,AFM074za5,78088053,93.04,120.51,65.57,1.17,1.54,0.76
1,D1S410,UT2341,79203535,94.99,123.46,66.52,1.23,1.5,0.73
1,D1S2829,AFM303vc5,79316950,94.99,123.46,66.52,1.23,1.5,0.73
1,D1S2803,AFMb361yd5,79957198,96.23,125.44,67.03,1.22,1.44,0.71
1,D1S1162,UT5492,80439775,96.85,126.46,67.23,1.19,1.38,0.7
1,D1S219,AFM161xb2,80835102,97.02,126.82,67.23,1.14,1.31,0.7
1,D1S411,AFM016xh3,81048794,97.22,127.2,67.23,1.1,1.27,0.69
1,D1S2798,AFMb359xe9,81658990,97.72,127.51,67.92,0.96,1.12,0.68
1,D1S462,AFM126xa1,81664467,97.72,127.51,67.92,0.96,1.12,0.68
1,D1S501,AFM359tb5,81911265,97.72,127.51,67.92,0.89,1.05,0.67
1,D1S2895,AFMa099wc1,82706971,98.68,128.39,68.97,0.66,0.81,0.64
1,D1S224,AFM179yg3,83309257,99.29,129.1,69.47,0.51,0.64,0.62
1,D1S1195,UT7726,NA,99.62,129.1,70.14,NA,NA,NA
1,D1S3736,GATA152F05,85238770,99.62,129.1,70.14,0.36,0.46,0.56
1,D1S1665,GATA61A06,85283793,99.62,129.1,70.14,0.37,0.46,0.56
1,D1S1648,GATA26C12,NA,99.62,129.1,70.14,NA,NA,NA
1,D1S2761,AFMb314yc1,86577568,100.12,129.1,71.13,0.51,0.56,0.54
1,D1S464,AFM270vc9,87239907,100.45,129.78,71.13,0.63,0.62,0.54
1,D1S481,AFM294wg1,87382357,100.54,129.96,71.13,0.65,0.63,0.54
1,D1S532,GAAT1D9,89925069,102.92,132.91,72.92,0.7,0.77,0.57
1,D1S1611,GGAA10G11,90588293,103.23,132.91,73.55,0.58,0.8,0.58
1,D1S2614,AFMa107ya9,91186226,103.23,132.91,73.55,0.51,0.81,0.59
1,D1S3733,GATA193D02,91500227,103.43,133.3,73.55,0.51,0.83,0.6
1,D1S2876,AFMa056xc9,91564832,103.43,133.3,73.55,0.51,0.83,0.6
1,D1S2841,AFM333zh9,92192753,103.82,133.6,74.03,0.59,0.85,0.61
1,D1S2618,AFMa113zg1,92351130,104.3,134.08,74.51,0.62,0.86,0.61
1,D1S500,AFM343vf9,92974013,104.36,134.21,74.51,0.76,0.89,0.62
1,D1S465,AFM270zf5,94206574,105.15,135.34,74.95,0.98,0.95,0.64
1,D1S430,AFM210vc9,94307655,105.32,135.68,74.95,0.98,0.96,0.64
1,D1S1672,GATA68F04,94996058,106.85,137.43,76.28,0.97,0.97,0.65
1,D1S2862,AFMa047zd9,95207374,107,137.72,76.28,0.95,0.97,0.65
1,D1S2856,AFM356tb9,95389198,107.16,137.72,76.59,0.92,0.97,0.66
1,D1S207,AFM116xb2,NA,107.16,137.72,76.59,NA,NA,NA
1,D1S454,AFM080xd3,95818864,107.16,137.72,76.59,0.86,0.96,0.66
1,D1S1159,UT1383,96018894,107.4,138.2,76.6,0.83,0.96,0.67
1,D1S551,GATA6A05,96039473,107.4,138.2,76.6,0.83,0.96,0.67
1,D1S226,AFM184xe11,96149936,107.5,138.2,76.8,0.81,0.95,0.67
1,D1S2807,AFMc008yc5,96331859,107.65,138.2,77.1,0.78,0.95,0.67
1,D1S488,AFM299ze9,96349462,107.92,138.45,77.39,0.78,0.95,0.67
1,D1S2774,AFMb335xb5,96524034,107.92,138.45,77.4,0.75,0.94,0.68
1,D1S2889,AFMa081xe9,98064786,108.35,139.3,77.4,0.69,0.93,0.71
1,D1S401,UT1344,99419399,110,140.77,79.22,0.85,1,0.73
1,D1S2766,AFMb320yf1,99522538,110,140.77,79.22,0.86,1,0.73
1,D1S2865,AFMa050ta5,101963671,112.02,143.31,80.72,1.03,1.17,0.66
1,D1S2627,AFMa125yc1,102338718,112.88,144.25,81.51,1.01,1.19,0.64
1,D1S435,AFM217zb2,105601215,115.43,148.01,82.85,0.69,1.04,0.48
1,D1S1588,ATA2E04,106351327,116.15,149.18,83.11,0.69,0.95,0.48
1,D1S424,AFM203vd4,107184638,116.32,149.18,83.46,0.7,0.85,0.5
1,D1S2804,AFMb363xf9,107186144,116.32,149.18,83.46,0.7,0.85,0.5
1,D1S2776,AFM265xh1,107509968,116.32,149.18,83.46,0.71,0.81,0.52
1,D1S2868,AFMa051wg9,107635420,116.64,149.81,83.46,0.71,0.79,0.52
1,D1S2819,AFMc026yf1,NA,118.4,151.16,85.64,NA,NA,NA
1,D1S2664,AFM164wh2,110490384,118.78,151.92,85.64,0.48,0.45,0.62
1,D1S2719,AFM200wf6,111693019,119.16,151.92,86.4,0.43,0.39,0.67
1,D1S2793,AFMb354xd9,112123345,119.32,152.24,86.4,0.44,0.38,0.69
1,D1S1163,UT5782,112260724,119.32,152.24,86.41,0.45,0.38,0.69
1,D1S415,AFM183yg7,114190224,119.96,152.37,87.55,0.63,0.47,0.75
1,D1S2753,AFMb297xe1,114233639,120,152.46,87.55,0.64,0.47,0.75
1,GATA124C0,8  GATA124C08,114400664,120.29,152.46,88.12,0.66,0.49,0.75
1,D1S2739,AFMb059xb9,114547057,120.57,153.02,88.12,0.67,0.5,0.76
1,D1S2808,AFMc008za9,114972592,120.75,153.02,88.48,0.71,0.54,0.76
1,D1S540,GATA4H05,115433516,120.96,153.44,88.48,0.75,0.59,0.75
1,D1S2767,AFMb324yg5,115632818,121.69,153.86,89.53,0.76,0.61,0.74
1,D1S1174,UT5210,NA,122.63,154.69,90.58,NA,NA,NA
1,D1S2671,AFMa230ze1,117355694,122.63,154.69,90.58,0.73,0.78,0.64
1,D1S223,AFM168yb2,117676533,122.63,154.69,90.58,0.71,0.81,0.61
1,D1S206,AFM113xf6,117752569,122.64,154.69,90.58,0.7,0.81,0.6
1,D1S2896,AFMa102wd9,118148816,122.76,154.95,90.58,0.67,0.84,0.56
1,D1S486,AFM297zg1,118324045,122.98,155.39,90.58,0.66,0.85,0.54
1,D1S495,AFM323ya5,118731229,124.02,156.46,91.58,0.63,0.87,0.5
1,D1S1657,GATA44E08,120304871,124.29,157,91.58,0.65,0.92,0.38
1,D1S2699,AFM191yc1,120809967,124.6,157.61,91.58,0.67,0.94,0.35
1,D1S2888,AFMa073zb1,121083372,125.16,157.61,92.71,0.68,0.95,0.34
1,D1S1631,ATA29D04,NA,125.75,158.79,92.71,NA,NA,NA
1,D1S429,AFM207yg1,121878672,126.06,159.41,92.71,0.68,1.01,0.31
1,GATA133A0,8  GATA133A08,122600157,126.35,159.99,92.71,0.66,1.09,0.29
1,D1S239,AFM205yg3,123709580,126.73,160.76,92.71,0.66,1.27,0.27
1,D1S2688,AFM186xg7,123809487,126.73,160.76,92.71,0.67,1.28,0.27
1,ATA42G12,ATA42G12,123945947,126.73,160.76,92.71,0.67,1.31,0.27
1,D1S248,AFM234vb4,124025235,126.74,160.76,92.71,0.68,1.33,0.27
1,D1S2778,AFMb338wd9,125888386,128.56,163.56,93.56,1.01,1.73,0.25
1,D1S2695,AFMa296we9,127811471,130.9,167.81,93.99,1.27,2,0.24
1,D1S457,AFM084xb3,127994180,130.9,167.81,93.99,1.27,2,0.24
1,D1S2708,AFMa339zf5,128356963,131.59,169.18,93.99,1.25,2,0.25
1,D1S2726,AFMb032yd1,128479059,132.11,170.23,93.99,1.24,1.99,0.25
1,D1S2809,AFM277vh9,128709045,132.11,170.23,93.99,1.22,1.98,0.25
1,D1S2789,AFMb351zc9,129313957,132.33,170.67,93.99,1.16,1.92,0.26
1,D1S2837,AFM324ve9,129589171,133.05,172.1,93.99,1.12,1.89,0.27
1,D1S187,Mfd227,NA,133.37,172.27,94.47,NA,NA,NA
1,D1S418,AFM197yg1,130279998,133.99,173.51,94.47,1.02,1.83,0.28
1,D1S2746,AFMb283wf1,130337046,133.99,173.51,94.47,1.02,1.82,0.28
1,D1S2881,AFMa060xg5,132259535,135.38,175.64,95.11,0.87,1.69,0.29
1,D1S2756,AFMb305zc9,NA,135.38,175.65,95.11,NA,NA,NA
1,D1S1191,UT7380,132309739,135.51,175.91,95.11,0.87,1.68,0.29
1,D1S250,AFM240yg1,132755338,136.56,177.53,95.59,0.9,1.67,0.28
1,D1S467,AFM277yf9,133911359,136.56,177.53,95.59,1,1.65,0.23
1,D1S2687,AFMa282vd9,134116069,137.37,179.15,95.59,1.02,1.65,0.22
1,D1S189,AFM036xc5,134774478,137.88,180.18,95.59,1.05,1.62,0.18
1,D1S2744,AFM207xc5,135364882,138.92,182.25,95.59,1.03,1.56,0.14
1,D1S252,AFM249zg9,135655525,139.16,182.25,96.06,0.99,1.52,0.13
1,D1S440,AFM234wc9,135814592,139.6,183.14,96.06,0.97,1.5,0.12
1,D1S2820,AFMc026yh5,135940433,139.6,183.14,96.06,0.94,1.47,0.11
1,D1S453,AFM248zh9,136262720,139.9,183.73,96.06,0.87,1.4,0.1
1,D1S2669,AFMa226wa9,136600664,139.9,183.74,96.06,0.79,1.32,0.09
1,D1S2875,AFMa055yf1,136861909,139.9,183.74,96.06,0.72,1.25,0.08
1,D1S534,GATA12A07,137797784,140.68,185.29,96.07,0.46,0.96,0.05
1,D1S185,Mfd215,138295473,140.81,185.56,96.07,0.34,0.8,0.04
1,D1S514,AFMa151za5,138388331,141.02,185.97,96.07,0.32,0.77,0.04
1,D1S442,AFM234zd12,172600357,142.09,187.48,96.71,0,0.31,0.04
1,D1S2344,AFMa311wf5,172933132,142.09,187.48,96.71,0.03,0.38,0.05
1,D1S2612,AFM135yc3,174638507,142.09,187.48,96.71,0.51,0.75,0.1
1,D1S3466,GATA13C08,177674686,144.94,192.53,97.35,0.51,0.82,0.2
1,D1S498,AFM336xb1,179099580,144.94,192.53,97.36,0.27,0.67,0.3
1,D1S2343,AFMa046wd9,179294362,145.44,193,97.89,0.27,0.65,0.31
1,D1S2345,AFMc002wf5,181311250,145.45,193,97.9,0.56,0.76,0.49
1,D1S2715,AFMa357ze5,NA,147.01,194.33,99.69,NA,NA,NA
1,D1S2858,AFM361tb9,183060380,147.19,194.69,99.69,1,1.22,0.62
1,D1S305,AFM220xf8,183354288,147.34,194.69,99.99,1.07,1.3,0.65
1,D1S2777,AFMb337zh1,184138309,148.62,197.24,99.99,1.21,1.46,0.75
1,D1S1595,GATA25B02,184377214,148.85,197.24,100.47,1.24,1.5,0.79
1,D1S2624,AFMa123wg5,185398936,150.44,199.32,101.56,1.31,1.59,0.97
1,D1S2125,ATA20D07,186093762,150.85,200.14,101.56,1.33,1.6,1.09
1,D1S1600,GATA3B11,186599250,151.49,201.42,101.56,1.34,1.59,1.17
1,D1S1653,GATA43A04,187095872,151.68,201.79,101.56,1.37,1.57,1.24
1,SPTA1,SPTA1,187607918,152.92,202.48,103.35,1.42,1.55,1.3
1,D1S1187,UT6608,187918506,153.44,203.52,103.35,1.45,1.54,1.32
1,D1S2635,AFMa133ye5,188194297,154.28,203.52,105.03,1.49,1.53,1.34
1,D1S398,UT1234,188611815,154.5,203.75,105.25,1.53,1.52,1.36
1,CRP,Mfd57,188655189,154.5,203.76,105.25,1.54,1.52,1.36
1,D1S1167,NIB1152,189073304,155.97,204.56,107.39,1.57,1.52,1.37
1,D1S2707,AFMa339wh1,189136581,156.1,204.82,107.39,1.57,1.52,1.37
1,D1S2771,AFMb334xb1,189850529,156.48,205.34,107.62,1.55,1.55,1.36
1,D1S484,AFM297wb9,190022422,157.51,206.69,108.33,1.53,1.57,1.36
1,D1S2705,AFMa323xd9,190139995,157.51,206.69,108.33,1.52,1.57,1.35
1,D1S2675,AFMa244wh5,191824239,159.05,208.96,109.15,1.35,1.72,1.29
1,D1S2768,AFMb324zd5,192136452,159.72,209.54,109.9,1.35,1.75,1.28
1,D1S2844,AFM344va9,192586084,160.43,210.58,110.27,1.38,1.78,1.28
1,D1S1677,GGAA22G10,193542177,161.5,212.04,110.95,1.54,1.84,1.28
1,D1S104,Mfd67,NA,161.93,212.04,111.81,NA,NA,NA
1,D1S403,UT2089,193710083,161.93,212.04,111.81,1.58,1.85,1.28
1,D1S400,UT1398,194461469,161.93,212.04,111.81,1.71,1.88,1.29
1,D1S2628,AFMa125ze5,195136156,165.54,216.53,114.56,1.78,1.91,1.29
1,D1S426,AFM205xh2,195294549,165.67,216.78,114.56,1.78,1.91,1.3
1,D1S2878,AFMa057ze5,195390880,165.78,217.01,114.56,1.78,1.91,1.3
1,D1S194,AFM057xf8,195424756,165.9,217.01,114.8,1.78,1.92,1.3
1,D1S2681,AFMa247xd1,NA,166.4,217.41,115.38,NA,NA,NA
1,D1S2673,AFMa239yd1,196853971,167.1,218.23,115.97,1.59,1.9,1.28
1,D1S2762,AFMb316zb9,197288154,167.3,218.23,116.36,1.51,1.87,1.26
1,D1S2630,AFMa129zf5,197548173,167.88,219.4,116.36,1.47,1.85,1.25
1,D1S196,AFM063xg9,197936216,169.4,221.02,117.78,1.42,1.8,1.22
1,D1S2750,AFMb292xb1,198061892,169.55,221.02,118.09,1.4,1.78,1.22
1,D1S431,AFM212xf6,198151839,169.68,221.11,118.25,1.4,1.77,1.21
1,D1S445,AFM238xf10,198286330,169.68,221.11,118.25,1.39,1.75,1.2
1,D1S2799,AFMb359xf5,198424736,169.68,221.11,118.25,1.39,1.73,1.19
1,D1S433,AFM217xe11,198700172,170.05,221.52,118.58,1.39,1.69,1.16
1,D1S3464,ATA9A02,199380685,171.06,223.14,118.99,1.41,1.57,1.09
1,D1S2851,AFM350yh1,200680991,172.9,225.6,120.21,1.3,1.31,0.93
1,D1S452,AFM248wg5,201039422,173.16,225.6,120.72,1.2,1.24,0.88
1,D1S210,AFM122xa3,201376613,174.09,226.74,121.44,1.09,1.17,0.83
1,D1S1619,ATA14D03,202255230,174.82,227.13,122.51,0.77,1.02,0.72
1,D1S2790,AFMb352xe9,203541918,174.99,227.48,122.51,0.49,0.86,0.61
1,D1S2814,AFM278ye5,205099887,176.25,229.12,123.39,0.62,0.77,0.57
1,D1S1589,ATA4E02,205388546,176.25,229.12,123.39,0.67,0.76,0.57
1,D1S242,AFM212xb10,205499700,176.25,229.12,123.39,0.69,0.75,0.58
1,D1S218,AFM157xe7,205630555,176.3,229.2,123.39,0.71,0.75,0.58
1,D1S2691,AFMa285zd5,206200953,176.38,229.37,123.39,0.78,0.73,0.59
1,D1S416,AFM185xd6,206396403,176.9,230.41,123.39,0.8,0.73,0.6
1,D1S2643,AFMa152zf5,206725051,177.23,230.66,123.8,0.82,0.72,0.61
1,D1S2887,AFM115ye3,207548690,178.06,231.2,124.92,0.8,0.71,0.62
1,D1S2769,AFMb328yg5,207887758,178.26,231.2,125.33,0.78,0.71,0.62
1,D1S2659,AFMa203yb9,207926460,178.47,231.2,125.73,0.77,0.71,0.62
1,D1S2786,AFMb350xa5,208542803,178.47,231.2,125.73,0.7,0.72,0.61
1,D1S480,AFM290yf9,208601668,178.68,231.62,125.73,0.69,0.73,0.61
1,GATA12F01,GATA12F01,208974388,179.23,232.22,126.25,0.64,0.74,0.6
1,D1S2791,AFMb352yb9,209210283,179.27,232.22,126.32,0.61,0.75,0.59
